,date,prices,market_caps,total_volumes,id,open,high,low,close
0,2015-08-07,2.83162,0.0,90622.0,ethereum,2.83,2.83,2.83,2.83
1,2015-08-08,1.33075,80339475.0,368070.0,ethereum,,,,
2,2015-08-10,0.6875857090838133,41556309.21112176,400464.0745435489,ethereum,,,,
3,2015-08-11,1.067378879429946,64539006.306272194,1518998.2053373822,ethereum,1.33,1.33,0.687586,1.067
4,2015-08-12,1.256613175101658,76013261.05415402,2073893.3450314845,ethereum,,,,
5,2015-08-13,1.825395446319752,110468836.22388984,4380142.704000345,ethereum,,,,
6,2015-08-14,1.825974891355639,110555313.26025319,4355618.378552116,ethereum,,,,
7,2015-08-15,1.670949668937766,101215246.3781064,2519633.2708181436,ethereum,1.26,1.83,1.26,1.67
8,2015-08-16,1.476607254205028,89480939.24025029,3032657.656405736,ethereum,,,,
9,2015-08-17,1.20387143115441,87313387.94547918,1880092.2147175823,ethereum,,,,
10,2015-08-18,1.281393051659975,92957858.0620156,1696013.472335737,ethereum,,,,
11,2015-08-19,1.252738651679077,90920695.86547753,1537200.8409894055,ethereum,1.48,1.48,1.2,1.25
12,2015-08-20,1.484195074171873,107749185.84108424,2967730.5022106003,ethereum,,,,
13,2015-08-21,1.40631477379752,102131022.8278611,1742881.8081502889,ethereum,,,,
14,2015-08-22,1.380721536476638,100308763.78229792,914588.6539745613,ethereum,,,,
15,2015-08-23,1.355182100454404,98488001.44464436,1610695.8727506467,ethereum,1.48,1.48,1.36,1.36
16,2015-08-24,1.24657168269902,90625948.31797116,696476.5553267623,ethereum,,,,
17,2015-08-25,1.160828327907264,84423109.08066371,1053169.3862050485,ethereum,,,,
18,2015-08-26,1.119639156482987,81454879.46968535,1151700.041593045,ethereum,,,,
19,2015-08-27,1.133690694008804,82504022.8230964,681460.2394411361,ethereum,1.25,1.25,1.12,1.13
20,2015-08-28,1.188895698722608,86549490.63266213,715178.7899308845,ethereum,,,,
21,2015-08-29,1.174343905252208,85515599.87435573,607200.891453558,ethereum,,,,
22,2015-08-30,1.322350879918967,96321049.6917207,1045589.321256734,ethereum,,,,
23,2015-08-31,1.353368417391325,98608290.53954794,1197102.0492865555,ethereum,1.19,1.35,1.17,1.35
24,2015-09-01,1.350786688734447,98446826.49425755,610368.2430900692,ethereum,,,,
25,2015-09-02,1.278810765308764,93224371.25915022,629746.119316548,ethereum,,,,
26,2015-09-03,1.262770719520856,92075482.63297981,583923.7452450913,ethereum,1.35,1.35,1.26,1.26
27,2015-09-04,1.269520099878085,92596631.55333723,333502.66115673864,ethereum,,,,
28,2015-09-05,1.334976229386974,97402782.61913483,350815.4668948872,ethereum,,,,
29,2015-09-06,1.29888313413515,94801706.70501994,317470.0943419727,ethereum,,,,
30,2015-09-07,1.256223439965584,91718481.31789045,487005.2028033498,ethereum,1.27,1.33,1.26,1.26
31,2015-09-08,1.236033260936938,90274690.39947063,419148.8018252036,ethereum,,,,
32,2015-09-09,1.206529945086729,88150718.66876175,367774.3318949896,ethereum,,,,
33,2015-09-10,1.167234841402144,85308945.82326,639527.9174929534,ethereum,,,,
34,2015-09-11,0.9765090926915041,71394234.94958797,1901710.694902119,ethereum,1.24,1.24,0.976509,0.976509
35,2015-09-12,1.038203585306107,75931677.01254052,800623.2998453851,ethereum,,,,
36,2015-09-13,0.9386521502557871,68673818.80135794,658895.1959938455,ethereum,,,,
37,2015-09-14,0.87402296242848,63965969.21105757,739213.7259180878,ethereum,,,,
38,2015-09-15,0.9418231857274298,68951445.2301325,725816.471124354,ethereum,1.038,1.038,0.874023,0.941823
39,2015-09-16,0.9032199195724051,66147947.57992838,629370.0849072988,ethereum,,,,
40,2015-09-17,0.8830787289063511,64693831.07862287,910704.9512256783,ethereum,,,,
41,2015-09-18,0.8460709193872474,62003275.12077277,478606.3969218407,ethereum,,,,
42,2015-09-19,0.8821037996855977,64666306.22983543,387803.6167124918,ethereum,0.90322,0.90322,0.846071,0.882104
43,2015-09-20,0.9363277614869444,68666556.12460059,514836.10862474947,ethereum,,,,
44,2015-09-21,0.9010928790890973,66105164.81214318,429253.50431215833,ethereum,,,,
45,2015-09-22,0.8971422650551497,65835322.779180124,485738.9553869821,ethereum,,,,
46,2015-09-23,0.8940475222994914,65633959.754653834,204065.40590088838,ethereum,0.936328,0.936328,0.894048,0.894048
47,2015-09-24,0.8160373080893036,59927327.71396765,818263.068224302,ethereum,,,,
48,2015-09-25,0.7405192998515878,54400658.247102216,901151.6190115963,ethereum,,,,
49,2015-09-26,0.7778014991497727,57158415.438244216,379124.1859007531,ethereum,,,,
50,2015-09-27,0.7213584231130563,53028193.82255717,408380.6390382605,ethereum,0.816037,0.816037,0.721358,0.721358
51,2015-09-28,0.5830570046974366,42874816.973063745,1214056.2117823916,ethereum,,,,
52,2015-09-29,0.657832489515796,48389042.902712226,936630.3296074625,ethereum,,,,
53,2015-09-30,0.7347630535971914,54065419.507539704,640217.6226458604,ethereum,0.583057,0.734763,0.583057,0.734763
