date,prices,market_caps,total_volumes,id,symbol,open,high,low,close
2017-11-09,0.22537665242356383,78881828.34824735,3190025.855165697,chainlink,link,,,,
2017-11-10,0.189036422857878,66162748.000257306,2121175.2731304658,chainlink,link,,,,
2017-11-11,0.18122267085020952,63427934.797573335,2229297.6966014686,chainlink,link,0.225377,0.225377,0.181223,0.181223
2017-11-12,0.1700132017426718,59504620.60993513,5361145.800394995,chainlink,link,,,,
2017-11-13,0.1806910270317246,63241859.46110361,2942234.064639167,chainlink,link,,,,
2017-11-14,0.184052414487514,64418345.0706298,955694.128460412,chainlink,link,,,,
2017-11-15,0.190234703697849,66582146.294247,1734784.90838908,chainlink,link,0.170013,0.190235,0.170013,0.190235
2017-11-16,0.168815435262205,59085402.3417718,1729243.99580533,chainlink,link,,,,
2017-11-17,0.157111951079117,54989182.8776909,2431887.65775906,chainlink,link,,,,
2017-11-18,0.170396872923389,59638905.5231861,1955671.00105813,chainlink,link,,,,
2017-11-19,0.161562072015449,56546725.2054073,1640406.85843999,chainlink,link,0.168815,0.170397,0.157112,0.161562
2017-11-20,0.161699324563346,56594763.5971711,1906351.79618848,chainlink,link,,,,
2017-11-21,0.15534024599226,54369086.0972911,1941859.28193498,chainlink,link,,,,
2017-11-22,0.171994652205768,60198128.2720188,2596575.92430811,chainlink,link,,,,
2017-11-23,0.166836303540755,58392706.2392644,3454601.95211284,chainlink,link,0.161699,0.171995,0.15534,0.166836
2017-11-24,0.193630018866783,67770506.603374,3765698.54125932,chainlink,link,,,,
2017-11-25,0.181614185954014,63564965.0839048,2290381.75976242,chainlink,link,,,,
2017-11-26,0.180970294760191,63339603.1660668,1901281.92002579,chainlink,link,,,,
2017-11-27,0.185539034791525,64938662.1770336,4221341.35026575,chainlink,link,0.19363,0.19363,0.18097,0.185539
2017-11-28,0.182857171612691,64000010.0644418,5358820.6487581,chainlink,link,,,,
2017-11-29,0.148182604698864,51863911.6446025,5159080.70696049,chainlink,link,,,,
