date,prices,market_caps,total_volumes,id,symbol,open,high,low,close
2019-11-19,1.000650588888066,1437645.8836350194,872764.2021398307,dai,dai,1.001,1.001,1.001,1.001
2019-11-20,0.9954110116644869,6945898.406513857,4841468.5490625035,dai,dai,,,,
2019-11-21,0.9915908692454622,8989928.0137391,1007819.5278591164,dai,dai,,,,
2019-11-22,0.9911021228250846,12494872.076604953,3679539.548076001,dai,dai,,,,
2019-11-23,0.9928500446120052,14391748.486608919,7201905.087479217,dai,dai,0.995411,0.995411,0.991102,0.99285
2019-11-24,0.9821199130342257,14697564.657745376,2071655.1111188007,dai,dai,,,,
2019-11-25,0.927535960047834,13934943.346314434,836399.0027745706,dai,dai,,,,
2019-11-26,0.9888113589915057,16428649.463907203,3671209.942193888,dai,dai,,,,
2019-11-27,0.9477039994203292,15787652.136815354,897874.3237497372,dai,dai,0.98212,0.988811,0.927536,0.947704
2019-11-28,0.9797532303288976,15754951.873730391,2005150.804457474,dai,dai,,,,
2019-11-29,0.9736842827784653,17766421.873473242,1759859.2756764512,dai,dai,,,,
2019-11-30,0.9823796549629766,19067967.22768785,1436978.7356604622,dai,dai,0.979753,0.98238,0.973684,0.98238
2019-12-01,0.947958034819108,19116829.497572385,651692.5755483737,dai,dai,,,,
2019-12-02,0.9692867758753012,21270234.563937634,1149947.991171052,dai,dai,,,,
2019-12-03,0.9931722472225812,38514746.91648468,818646.2523035532,dai,dai,0.947958,0.993172,0.947958,0.993172
2019-12-04,0.9762196669646119,44117485.146808125,1887706.8627085781,dai,dai,,,,
2019-12-05,0.978063576046384,44886458.61735102,2453374.971828814,dai,dai,,,,
2019-12-06,0.9766388581510979,44188406.22736558,1977848.0357278797,dai,dai,,,,
2019-12-07,0.9726688641283181,45391888.53901079,1443318.7343332556,dai,dai,0.97622,0.978064,0.972669,0.972669
2019-12-08,0.9687596124111794,43444916.85219919,1271166.6818732582,dai,dai,,,,
2019-12-09,0.9757126757054998,44686580.56870687,2284894.4595282935,dai,dai,,,,
2019-12-10,0.9743668145439941,43778795.94907159,1534918.4176092234,dai,dai,,,,
2019-12-11,0.9734734853699696,43609646.342096776,2082162.2457790365,dai,dai,0.96876,0.975713,0.96876,0.973473
2019-12-12,1.0000402732386735,45574452.93901587,2090124.0980966105,dai,dai,,,,
2019-12-13,0.9990270572914369,46033530.19020713,1867357.013060077,dai,dai,,,,
2019-12-14,1.004506003321739,46718171.34740256,1798362.05988889,dai,dai,,,,
2019-12-15,0.9990879396642474,46326305.22269202,975343.3900797946,dai,dai,1.0,1.005,0.999027,0.999088
2019-12-16,0.9953315678455207,46347768.93292016,957532.317483498,dai,dai,,,,
2019-12-17,1.0041174272867668,49236345.7379027,3879180.875625977,dai,dai,,,,
2019-12-18,1.0035311834668825,48052481.54799645,7233458.315494598,dai,dai,,,,
2019-12-19,1.001236941108159,47881989.88029857,6198504.735420286,dai,dai,0.995332,1.004,0.995332,1.001
2019-12-20,1.0001195264392,49258774.42647197,3429995.3243701984,dai,dai,,,,
2019-12-21,0.9972592645057585,43779851.32934509,2388440.3057888565,dai,dai,,,,
2019-12-22,0.9657993233443855,42462708.54012666,1500841.0057786622,dai,dai,,,,
2019-12-23,0.9830352782570829,43319642.212579764,1937175.8553383646,dai,dai,1.0,1.0,0.965799,0.983035
2019-12-24,0.983442785117267,43197962.1501458,3499497.733099163,dai,dai,,,,
2019-12-25,0.9790040930548111,42876969.875245765,2248938.1501088548,dai,dai,,,,
2019-12-26,0.9727306129325239,42013812.036031455,1738527.803403037,dai,dai,,,,
2019-12-27,0.9742495283691849,41216496.643668175,1826210.4349343437,dai,dai,0.983443,0.983443,0.972731,0.97425
2019-12-28,0.9744770865407593,41140003.28390296,1753946.8315831083,dai,dai,,,,
2019-12-29,0.9720845376983497,41312458.13496491,1733528.0714703307,dai,dai,,,,
2019-12-30,0.9845264335517296,42217539.83942108,3835350.372952979,dai,dai,,,,
2019-12-31,0.9818932700387747,41570453.64757815,2907183.7825299567,dai,dai,0.974477,0.984526,0.972085,0.981893
2020-01-01,0.9818469907264622,41778474.810325526,2779679.3967009764,dai,dai,,,,
2020-01-02,0.9726058008924008,41083185.19094878,1566522.3145138372,dai,dai,,,,
2020-01-03,0.978826383556656,41278022.173959784,2235376.3582284222,dai,dai,0.981847,0.981847,0.972606,0.978826
2020-01-04,0.98787714642571,42581602.14223324,3414141.9805833204,dai,dai,,,,
2020-01-05,0.9701337426756221,41388590.59059867,1521153.0986598108,dai,dai,,,,
2020-01-06,0.9811010361823272,41935818.1392408,2919902.3818726283,dai,dai,,,,
2020-01-07,0.99868002674042,44894739.590651274,5109722.516281013,dai,dai,0.987877,0.99868,0.970134,0.99868
2020-01-08,0.9956359758022523,47168618.15644877,6108257.628055667,dai,dai,,,,
2020-01-09,1.0004055374300225,46123776.55402997,7981251.2224688055,dai,dai,,,,
2020-01-10,1.0027315646284447,46010555.08001339,3935702.4269713294,dai,dai,,,,
2020-01-11,1.0066311782430477,83329194.30009556,2988226.143551149,dai,dai,0.995636,1.007,0.995636,1.007
2020-01-12,0.9946082949190382,83101741.42074405,1966588.731925116,dai,dai,,,,
2020-01-13,1.0011028036381404,84458742.08336683,2419176.745327148,dai,dai,,,,
2020-01-14,0.9930822014257257,85495814.02138372,2738414.547760363,dai,dai,,,,
2020-01-15,1.003530723355194,87284468.50076805,9898331.849913538,dai,dai,0.994608,1.004,0.993082,1.004
2020-01-16,0.9971617186713293,87663675.27361801,5644528.670003947,dai,dai,,,,
2020-01-17,0.9961147216136393,89222338.63485347,4790908.026606358,dai,dai,,,,
2020-01-18,0.9926702410381791,94452683.0623559,7439069.8992333,dai,dai,,,,
2020-01-19,0.9908555390638011,95750977.341536,6133686.181965463,dai,dai,0.997162,0.997162,0.990856,0.990856
2020-01-20,0.996875695797804,96638682.17044407,5800830.511168848,dai,dai,,,,
2020-01-21,0.9933925837295969,97204215.87515491,4114745.5660271687,dai,dai,,,,
